상품ID,카테고리명,상품명,가격,Image URL
788935,식탁,도노 세라믹 식탁세트 스칸디 6인용(의자4 포함),957000,https://image.hanssem.com/hsimg/gds/1050/788/788935_A1.jpg?v=20250908100847
1103566,식탁의자,라이트 체어 2P (일반형/패드형),69900,https://image.hanssem.com/hsimg/gds/1050/1103/1103566_A1.jpg?v=20250915132054
1050983,식탁의자,도노 어반 1800 벤치의자,805000,https://image.hanssem.com/hsimg/gds/1050/1050/1050983_A1.jpg?v=20240814144101
865079,식탁,도노 세라믹 어반 6인 식탁 (의자미포함),879000,https://image.hanssem.com/hsimg/gds/1050/865/865079_A1.jpg?v=20250627095802
1024471,식탁,투티 4인 낮은 식탁세트(스틸의자4 포함),758000,https://image.hanssem.com/hsimg/gds/1050/1024/1024471_A1.jpg?v=20250917141646
909709,식탁,도노 새틴글래스 엣지 4인 식탁세트 (슬림의자4 포함),769000,https://image.hanssem.com/hsimg/gds/1050/909/909709_A1.jpg?v=20250908100848
1064853,식탁,위드 세라믹 6인 식탁 1750(의자미포함),479000,https://image.hanssem.com/hsimg/gds/1050/1064/1064853_A1.jpg?v=20250908100848
1048589,식탁의자,1+1 모노 바체어 스마트패브릭,99000,https://image.hanssem.com/hsimg/gds/550/1048/1048589_A1.jpg?v=20250915132053
613227,주방수납장,키친온 리빙수납장 수납형 높은장 (2종/택1),459000,https://image.hanssem.com/hsimg/gds/1050/613/613227_A1.jpg?v=20250908100853
1119166,식탁의자,도무스 율리아 제니아 식탁의자,240000,https://image.hanssem.com/hsimg/gds/1050/1119/1119166_A1.jpg?v=20250917095320
1038780,"식탁, 식탁의자",라모 스틸 식탁의자 (2종/택1),145000,https://image.hanssem.com/hsimg/gds/1050/1038/1038780_A1.jpg?v=20241203092754
993557,식탁의자,바흐 801 스툴 의자,148000,https://image.hanssem.com/hsimg/gds/1050/993/993557_A1.jpg?v=20240805160040
993714,식탁,유로 603 일리스 내추럴 식탁 1600,1075000,https://image.hanssem.com/hsimg/gds/1050/993/993714_A1.jpg?v=20250211150117
1050988,식탁,"도노 어반 리빙다이닝 와이드4인 라운지세트 (180벤치, 코너벤치 포함)",2358000,https://image.hanssem.com/hsimg/gds/1050/1050/1050988_A1.jpg?v=20250627091915
928611,주방수납장,라임 주방수납 트롤리 55cm,175000,https://image.hanssem.com/hsimg/gds/1050/928/928611_A1.jpg?v=20250908100853
1064856,식탁,위드 세라믹 6인 식탁세트 1750(위드의자4포함),749000,https://image.hanssem.com/hsimg/gds/1050/1064/1064856_A1.jpg?v=20250911100014
823610,식탁,"포레 컴포트 6인 베이직세트 (벤치1,PP의자2 포함)",804000,https://image.hanssem.com/hsimg/gds/1050/823/823610_A1.jpg?v=20250908100848
617342,식탁,포레 원목 6인식탁(의자 미포함) DIY,185000,https://image.hanssem.com/hsimg/gds/1050/617/617342_A1.jpg?v=20250908100851
1038783,식탁,라모 스틸 세라믹 6인 식탁세트 (미나의자6 포함),1709000,https://image.hanssem.com/hsimg/gds/1050/1038/1038783_A1.jpg?v=20250808084916
891267,식탁,"(new시즌컬러)  포레 컴포트 6인 베이직세트 (벤치1, 원목의자2 포함)",864000,https://image.hanssem.com/hsimg/gds/1050/891/891267_A1.jpg?v=20250908100848
948299,식탁,미나 스테인리스 원형 4인 1000 식탁,525000,https://image.hanssem.com/hsimg/gds/1050/948/948299_A1.jpg?v=20250908100849
1061828,식탁,라모 원목 4인 세라믹 타원형식탁 1500 (의자미포함),1089000,https://image.hanssem.com/hsimg/gds/1050/1061/1061828_A1.jpg?v=20240708153955
